,make,type,year,engine,mileage,price_in_azn
12734,BMW, Alpina B10,2002,4.8,289021.0,15900.0
12735,Kia, Optima,2012,2.0,156000.0,21800.0
12736,Ford, Fusion,2016,1.5,130000.0,18600.0
12737,Land, Rover Range Rover,2003,4.4,130000.0,18000.0
12738,Lexus, LS 460,2007,4.6,185000.0,24900.0
12739,Opel, Vectra,1997,2.0,354028.0,4800.0
12740,Volkswagen, Touareg,2003,3.2,357000.0,8900.0
12741,Mercedes, 208 D,1993,2.5,150000.0,8800.0
12742,Chevrolet, Cruze,2014,1.4,250000.0,14200.0
12743,BMW, 520,2012,2.0,319990.0,32500.0
12744,Fiat, Fiorino,2022,1.4,0.0,30400.0
12745,Haval, Jolion,2022,1.5,0.0,43900.0
12746,Chevrolet, Cruze,2015,1.4,126700.0,14900.0
12747,Dodge, Durango,2022,3.6,0.0,122060.0
12748,Toyota, Prado,2010,2.7,147000.0,41500.0
12749,Mercedes, E 200,2016,2.0,351000.0,39900.0
12750,Ford, Transit,2008,2.4,246000.0,26800.0
12751,Infiniti, JX35,2013,3.5,197599.0,35530.0
12752,BMW, 540,2017,3.0,56000.0,83130.0
12753,Toyota, Corolla,2007,1.4,175000.0,15200.0
12754,Toyota, Highlander,2022,2.5,17000.0,94350.0
12755,Kia, K5,2021,2.0,30000.0,55700.0
12756,BMW, 520,2012,2.0,319990.0,32500.0
12757,Hyundai, i30,2008,1.6,208000.0,15400.0
12758,BMW, 528,1998,2.8,400000.0,11200.0
12759,Kia, Rio,2005,1.5,232501.0,11800.0
12760,Volkswagen, Jetta,2000,2.0,231000.0,6100.0
12761,Mercedes, C 240,1998,2.4,350000.0,10000.0
12762,LADA, (VAZ) 2106,1991,1.6,125000.0,2500.0
12763,Mercedes, Axor 1833,2007,7.5,470000.0,69000.0
12764,Mercedes, E 220,1995,2.2,400000.0,8000.0
12765,Kia, Ceed,2009,1.6,250200.0,15200.0
12766,Kia, Sorento,2016,2.0,186000.0,42900.0
12767,Honda, Civic,2008,1.3,212000.0,13542.0
12768,Hyundai, Tucson,2018,2.0,51499.0,34800.0
12769,Hyundai, i30,2009,1.4,129000.0,14700.0
12770,Toyota, Land Cruiser,2022,3.5,0.0,208930.0
12771,Hyundai, Santa Fe,2014,2.0,78000.0,35700.0
12772,Skoda, Kodiaq,2019,2.0,80500.0,48900.0
12773,Hyundai, i10,2014,1.2,61354.0,17800.0
12774,BMW, 320,2007,2.0,258000.0,14000.0
12775,GAZ, 31105,2006,2.3,223599.0,6200.0
12776,Mercedes, C 220,1994,2.2,321000.0,6400.0
12777,Opel, Vita,1997,1.4,312500.0,5200.0
12778,LADA, (VAZ) 21011,1983,1.5,383800.0,2100.0
12779,Mercedes, E 220,2010,2.2,240000.0,21000.0
12780,BMW, X5,2022,2.0,0.0,139400.0
12781,BMW, X5,2022,2.0,0.0,155550.0
12782,Tesla, Model Y,2022,0.0,0.0,84150.0
12783,Toyota, Prius Prime,2020,1.8,43900.0,44030.0
12784,Opel, Astra,2005,1.4,165500.0,11900.0
12785,Toyota, Land Cruiser,2013,4.5,167000.0,79560.0
12786,Hyundai, ix55,2012,3.0,231000.0,36500.0
12787,Chevrolet, Malibu,2018,1.5,89000.0,21800.0
12788,Hyundai, Sonata,2015,2.0,215000.0,28500.0
12789,Toyota, Highlander,2022,2.5,17000.0,94350.0
12790,Land, Rover Range Rover,2013,5.0,87600.0,116450.0
12791,JAC, T8,2020,2.0,22000.0,37700.0
12792,Mercedes, Vito 108,1999,2.2,408000.0,14500.0
12793,Lexus, RX 350,2013,3.5,145000.0,46920.0
12794,LADA, (VAZ) 21011,1975,1.5,85229.0,3000.0
12795,Kia, Sorento,2010,2.0,253000.0,27000.0
12796,Khazar, LX,2022,1.7,72000.0,16880.0
12797,Kia, Optima,2011,2.0,136000.0,21900.0
12798,LADA, (VAZ) 21099,2004,1.5,200000.0,6800.0
12799,BMW, 540,1995,4.4,258968.0,16800.0
